year,rank,ticker,company_name,weight,methodology,formula,rank_12_anchor_weight,underlying_value_usd,anchor_value_usd,source_citation
1995,20,LLY,Eli Lilly and Company,0.0078,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$36.87B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
1996,1,GE,General Electric Company,0.0310,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,2,KO,The Coca-Cola Company,0.0270,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,3,XOM,Exxon Mobil Corporation,0.0250,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,4,T,AT&T Inc.,0.0230,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,5,MRK,Merck & Co. Inc.,0.0200,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,6,MO,Altria Group Inc.,0.0180,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,7,MSFT,Microsoft Corporation,0.0170,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,8,INTC,Intel Corporation,0.0160,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,9,PG,Procter & Gamble Co.,0.0140,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,10,JNJ,Johnson & Johnson,0.0130,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,11,WMT,Walmart Inc.,0.0120,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,12,PFE,Pfizer Inc.,0.0110,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1996
1996,13,IBM,International Business Machines Corp.,0.0102,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$57.49B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1996,14,BMY,Bristol-Myers Squibb Company,0.0099,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$55.80B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1996,15,DIS,The Walt Disney Company,0.0092,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$51.85B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1996,16,PEP,PepsiCo Inc.,0.0091,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$51.29B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1996,17,CVX,Chevron Corporation,0.0090,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$50.73B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1996,18,AIG,American International Group Inc.,0.0088,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$49.60B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1996,19,CSCO,Cisco Systems Inc.,0.0086,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$48.47B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1996,20,LLY,Eli Lilly and Company,0.0083,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$46.78B,$62.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1996
1997,1,GE,General Electric Company,0.0350,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,2,MSFT,Microsoft Corporation,0.0280,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,3,KO,The Coca-Cola Company,0.0260,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,4,XOM,Exxon Mobil Corporation,0.0240,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,5,INTC,Intel Corporation,0.0210,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,6,MRK,Merck & Co. Inc.,0.0190,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,7,PG,Procter & Gamble Co.,0.0180,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,8,JNJ,Johnson & Johnson,0.0170,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,9,MO,Altria Group Inc.,0.0150,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,10,PFE,Pfizer Inc.,0.0140,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,11,WMT,Walmart Inc.,0.0130,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,12,T,AT&T Inc.,0.0120,Official Factsheet Anchor,W_factsheet,0.0120,,,S&P Dow Jones Indices Year-End Factsheet 1997
1997,13,IBM,International Business Machines Corp.,0.0105,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$65.62B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1997,14,BMY,Bristol-Myers Squibb Company,0.0096,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$60.00B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1997,15,LLY,Eli Lilly and Company,0.0091,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$56.88B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1997,16,VZ,Verizon Communications Inc.,0.0085,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$53.12B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1997,17,DIS,The Walt Disney Company,0.0084,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$52.50B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1997,18,AIG,American International Group Inc.,0.0080,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$50.00B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1997,19,C,Citigroup Inc.,0.0076,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$47.50B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1997,20,FNMA,Federal National Mortgage Association,0.0074,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0120,$46.25B,$75.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1997
1998,1,MSFT,Microsoft Corporation,0.0410,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,2,GE,General Electric Company,0.0380,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,3,INTC,Intel Corporation,0.0240,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,4,CSCO,Cisco Systems Inc.,0.0220,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,5,WMT,Walmart Inc.,0.0210,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,6,XOM,Exxon Mobil Corporation,0.0200,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,7,KO,The Coca-Cola Company,0.0180,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,8,MRK,Merck & Co. Inc.,0.0170,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,9,PFE,Pfizer Inc.,0.0160,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,10,PG,Procter & Gamble Co.,0.0150,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,11,JNJ,Johnson & Johnson,0.0140,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,12,IBM,International Business Machines Corp.,0.0130,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 1998
1998,13,BMY,Bristol-Myers Squibb Company,0.0129,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$94.27B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1998,14,C,Citigroup Inc.,0.0122,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$89.15B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1998,15,BAC,Bank of America Corporation,0.0112,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$81.85B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1998,16,LLY,Eli Lilly and Company,0.0105,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$76.73B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1998,17,VZ,Verizon Communications Inc.,0.0092,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$67.23B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1998,18,HD,The Home Depot Inc.,0.0091,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$66.50B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1998,19,AIG,American International Group Inc.,0.0091,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$66.50B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1998,20,T,AT&T Inc.,0.0085,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$62.12B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1998
1999,1,MSFT,Microsoft Corporation,0.0490,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,2,GE,General Electric Company,0.0410,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,3,CSCO,Cisco Systems Inc.,0.0330,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,4,WMT,Walmart Inc.,0.0260,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,5,INTC,Intel Corporation,0.0240,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,6,XOM,Exxon Mobil Corporation,0.0220,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,7,IBM,International Business Machines Corp.,0.0190,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,8,PFE,Pfizer Inc.,0.0170,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,9,KO,The Coca-Cola Company,0.0160,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,10,JNJ,Johnson & Johnson,0.0150,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,11,C,Citigroup Inc.,0.0150,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,12,AIG,American International Group Inc.,0.0140,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 1999
1999,13,HD,The Home Depot Inc.,0.0138,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$128.14B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
1999,14,ORCL,Oracle Corporation,0.0136,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$126.29B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
1999,15,PG,Procter & Gamble Co.,0.0127,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$117.93B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
1999,16,MRK,Merck & Co. Inc.,0.0122,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$113.29B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
1999,17,QCOM,QUALCOMM Incorporated,0.0119,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$110.50B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
1999,18,BMY,Bristol-Myers Squibb Company,0.0116,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$107.71B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
1999,19,T,AT&T Inc.,0.0114,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$105.86B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
1999,20,VZ,Verizon Communications Inc.,0.0094,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$87.29B,$130.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1999
2000,1,GE,General Electric Company,0.0400,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,2,XOM,Exxon Mobil Corporation,0.0330,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,3,PFE,Pfizer Inc.,0.0280,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,4,CSCO,Cisco Systems Inc.,0.0260,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,5,MSFT,Microsoft Corporation,0.0240,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,6,WMT,Walmart Inc.,0.0220,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,7,C,Citigroup Inc.,0.0210,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,8,AIG,American International Group Inc.,0.0190,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,9,INTC,Intel Corporation,0.0170,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,10,IBM,International Business Machines Corp.,0.0160,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,11,MRK,Merck & Co. Inc.,0.0150,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,12,JNJ,Johnson & Johnson,0.0140,Official Factsheet Anchor,W_factsheet,0.0140,,,S&P Dow Jones Indices Year-End Factsheet 2000
2000,13,ORCL,Oracle Corporation,0.0135,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$115.71B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2000,14,KO,The Coca-Cola Company,0.0132,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$113.14B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2000,15,BMY,Bristol-Myers Squibb Company,0.0127,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$108.86B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2000,16,VZ,Verizon Communications Inc.,0.0125,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$107.14B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2000,17,T,AT&T Inc.,0.0112,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$96.00B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2000,18,HD,The Home Depot Inc.,0.0098,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$84.00B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2000,19,LLY,Eli Lilly and Company,0.0097,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$83.14B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2000,20,PG,Procter & Gamble Co.,0.0094,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0140,$80.57B,$120.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2000
2001,1,GE,General Electric Company,0.0390,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,2,MSFT,Microsoft Corporation,0.0340,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,3,XOM,Exxon Mobil Corporation,0.0300,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,4,WMT,Walmart Inc.,0.0270,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,5,C,Citigroup Inc.,0.0250,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,6,PFE,Pfizer Inc.,0.0210,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,7,JNJ,Johnson & Johnson,0.0190,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,8,AIG,American International Group Inc.,0.0180,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,9,INTC,Intel Corporation,0.0160,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,10,IBM,International Business Machines Corp.,0.0150,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,11,MRK,Merck & Co. Inc.,0.0140,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,12,CSCO,Cisco Systems Inc.,0.0130,Official Factsheet Anchor,W_factsheet,0.0130,,,S&P Dow Jones Indices Year-End Factsheet 2001
2001,13,VZ,Verizon Communications Inc.,0.0121,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$88.42B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2001
2001,14,HD,The Home Depot Inc.,0.0120,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$87.69B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2001
2001,15,KO,The Coca-Cola Company,0.0118,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$86.23B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2001
2001,16,PG,Procter & Gamble Co.,0.0103,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$75.27B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2001
2001,17,BMY,Bristol-Myers Squibb Company,0.0100,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0130,$73.08B,$95.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 2001
